GROUP WARANTY,MAIN PRODUCT,TYPE,GROUP,SERIES,SUB SERIES,Thai / Asia (Except Japan),,,Europe / Japan / USA / Australia,,,Item number,Property,Product name,Search name,Item remark,Text production,Production pool,Item group,Unit
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC28-KIT-01-018,,HYD FORK UPGRADE KIT,HO\FORZA 300 '18>/FORZA 350 '20>,,,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC28-KIT-01-019,,HYD FORK UPGRADE KIT L.20,HO\FORZA 300 '18>/FORZA 350 '20>,,,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC28-KIT-01-022,,HYD FORK UPGRADE KIT,HO\SH-150i '13>,,,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC28-KIT-04-016,,HYD FORK UPGRADE KIT,YAM\FORCE 155 '17>,,,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC28-KIT-12-001,,HYD FORK UPGRADE KIT,LAMBRETTA\V 200 '19>/V 125 19>,,,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC29-KIT-09-002,,HYD FORK UPGRADE KIT,BMW\C 400X '18>,CAP เพื่อ KBA.เท่านั้น,,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC30-KIT-02-011,,HYD FORK UPGRADE KIT,KAW\KR 150 '89-94,ECR001017 NEW PACKING+SPRING-G,,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC31-KIT-01-009,,HYD FORK UPGRADE KIT,HO\ FORZA 300 '13-17,,BOM-R2-NEW SET 4-10-17,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC32-KIT-02-001,,HYD FORK UPGRADE KIT,KAW\NINJA 250 '13-17 / NINJA 300 '13>,ECR001017 NEW PACKING+SPRING-G,BOM-R1-NEW SET 4-10-17,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC32-KIT-02-006,,HYD FORK UPGRADE KIT,KAW\Z 300 '13>,ECR001017 NEW PACKING+SPRING-G,BOM-R2-NEW SET 4-10-17,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC33-KIT-02-005,,HYD FORK UPGRADE KIT,KAW\Z 250 '13-18,ECR001017 NEW PACKING+SPRING-G,BOM-R2-NEW SET 4-10-17,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC33-KIT-02-007,,HYD FORK UPGRADE KIT,KAW\NINJA 250 SL '15-16/Z 250 SL '15-16,ECR001017 NEW PACKING+SPRING-G,BOM-R2-NEW SET 4-10-17,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC36-KIT-09-001,,HYD FORK UPGRADE KIT,BMW\F 650 GS (2 CYL. /TWIN)  '07-12,ECR001017 NEW PACKING+SPRING-G,PACKING + SPRING,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCM20-KIT-01-016,,HYD FORK UPGRADE KIT,HO\DREAM SUPER CUB 110  '14>,,,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCM20-KIT-01-030,,HYD FORK UPGRADE KIT,HO\CT 125 '20>,,,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCM24-KIT-11-001,,HYD FORK UPGRADE KIT,APR\SR 150 '17>,ยังไม่สรุป MASS รอผลจากลูกค้าก่อน 20-08-19,,6127,FG-CARTRID,SET
